Date,price,open,high,low,change_pct
12/8/2020,18326.6,19170.8,19288.6,18229.2,-0.044
12/7/2020,19170.7,19368.4,19424.6,18908.8,-0.0108
12/6/2020,19379.9,19146,19417.1,18873,0.0122
12/5/2020,19146.5,18657.5,19172.7,18507.1,0.0262
12/4/2020,18658.1,19431.1,19529.5,18610.8,-0.0399
12/3/2020,19433.3,19219.8,19596.6,18883.7,0.0112
12/2/2020,19218.8,18767.9,19335.5,18346.7,0.0239
12/1/2020,18770.7,19697.8,19897.4,18257,-0.0471
11/30/2020,19698.1,18186,19831.2,18186,0.0832
11/29/2020,18185.5,17729.7,18336.3,17530.4,0.0257
11/28/2020,17730.7,17142.6,17874.4,16874.4,0.0352
11/27/2020,17127.1,17160.9,17450.3,16481.6,-0.002
11/26/2020,17162,18721.9,18894.9,16235.2,-0.0834
11/25/2020,18723,19151.5,19486.7,18527.7,-0.0224
11/24/2020,19152.6,18394.6,19416.6,18074.8,0.0421
11/23/2020,18379.6,18428.1,18756.8,18016,-0.0018
11/22/2020,18412.9,18689.3,18751.5,17644.6,-0.0147
11/21/2020,18687.2,18673.8,18966,18397.5,0.0006
11/20/2020,18675.2,17805.5,18811,17758.4,0.049
11/19/2020,17803.5,17775.1,18166,17380.1,0.0016
11/18/2020,17774.6,17662.3,18466.1,17258.9,0.0064
11/17/2020,17662.3,16715.8,17845.4,16562,0.0566
11/16/2020,16715.8,15954.1,16880.7,15870.7,0.0478
11/15/2020,15953,16074.7,16158.1,15782.3,-0.0073
11/14/2020,16071,16323.1,16328.2,15717.7,-0.0155
11/13/2020,16324.2,16293,16474.1,15973.4,0.0018
11/12/2020,16294.7,15695.8,16342.7,15483.5,0.0382
11/11/2020,15695.8,15303.1,15953.9,15281,0.0256
11/10/2020,15303.6,15328,15465.3,15096.5,-0.0015
11/9/2020,15327.2,15483.3,15819.6,14816.9,-0.0101
